NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT05982678,Basket Study for Oligo-metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT05982678,RECRUITING,HER2-positive Breast Cancer,DRUG: Trastuzumab deruxtecan,The Netherlands Cancer Institute,Daiichi Sankyo|AstraZeneca,INTERVENTIONAL
NCT06353997,A Phase II Open-label Study of Neoadjuvant INBRX-106 in Combination With Pembrolizumab for Stage II/III TNBC Patients,https://clinicaltrials.gov/study/NCT06353997,RECRUITING,Triple Negative Breast Cancer,DRUG: Pembrolizumab|DRUG: INBRX-106,Providence Health & Services,"Inhibrx Biosciences, Inc",INTERVENTIONAL
NCT05710328,"Testing the Role of FDG-PET/CT to Predict Response to Therapy Prior to Surgery for HER2-positive Breast Cancer, The DIRECT Trial",https://clinicaltrials.gov/study/NCT05710328,RECRUITING,Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|HER2-Positive Breast Carcinoma|Invasive Breast Carcinoma,DRUG: Chemotherapy|PROCEDURE: Computed Tomography|OTHER: Fludeoxyglucose F-18|PROCEDURE: Positron Emission Tomography|PROCEDURE: Surgical Procedure,ECOG-ACRIN Cancer Research Group,,INTERVENTIONAL
NCT06830889,A Study of BL-M07D1 Versus T-DM1 in the Adjuvant Treatment of HER2-positive Breast Cancer With Residual Invasive Cancer After Neoadjuvant Therapy,https://clinicaltrials.gov/study/NCT06830889,RECRUITING,HER2-positive Breast Cancer,DRUG: BL-M07D1|DRUG: T-DM1,"Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT07136428,Asciminib in HER2+ Breast Cancer Brain Metastases,https://clinicaltrials.gov/study/NCT07136428,NOT_YET_RECRUITING,HER2+ Metastatic Breast Cancer,COMBINATION_PRODUCT: Asciminib and Trastuzumab,Duke University,Novartis,INTERVENTIONAL
NCT06860529,Serplulimab Combined With Chemotherapy for Early-stage HR+/HER2- Breast Cancer,https://clinicaltrials.gov/study/NCT06860529,RECRUITING,HR+/HER2- Breast Cancer,DRUG: Serplulimab|DRUG: Epirubicin|DRUG: Albumin Paclitaxel,Henan Cancer Hospital,,INTERVENTIONAL
NCT07317778,Chemotherapy With or Without Adebrelimab and T-DXh as Neoadjuvant Therapy for HR+/HER2 Low Early Stage Breast Cancer,https://clinicaltrials.gov/study/NCT07317778,NOT_YET_RECRUITING,Breast Cancer Early Stage Breast Cancer (Stage 1-3)|HR Positive/HER2 Low Breast Cancer,DRUG: SHR-A1811|DRUG: Adebrelimab (PD-L1 inhibitor)|DRUG: Taxane Chemotherapy|DRUG: Anthracycline & Cyclophosphamide treatment scheme,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,INTERVENTIONAL
NCT06663748,ARX788 in HER2-positive Metastatic Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06663748,NOT_YET_RECRUITING,"HER2-positive, Metastatic Breast Cancer",DRUG: ARX788,Henan Cancer Hospital,,INTERVENTIONAL
NCT05732051,Nicotinamide Riboside and Prevention of Cancer Therapy Related Cardiac Dysfunction in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05732051,RECRUITING,Breast Cancer|Metastatic Breast Cancer|Cancer Therapy-Related Cardiac Dysfunction|Cardiotoxicity|Heart Failure,DIETARY_SUPPLEMENT: Nicotinamide Riboside|DIETARY_SUPPLEMENT: Placebo,"University Hospital, Akershus","ChromaDex, Inc.|Norwegian Cancer Society|Norwegian Breast Cancer Association|Helse Sor-Ost",INTERVENTIONAL
NCT06910761,Photon Craniospinal Irradiation for the Treatment of Leptomeningeal Disease Secondary to Breast Cancer or Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT06910761,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Breast Carcinoma|Metastatic Lung Non-Small Cell Carcinoma|Metastatic Malignant Neoplasm in the Leptomeninges|Stage IV Lung Cancer AJCC v8,PROCEDURE: Biospecimen Collection|RADIATION: Craniospinal Irradiation|OTHER: Electronic Health Record Review|PROCEDURE: Lumbar Puncture|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Ommaya Reservoir Tap|OTHER: Questionnaire Administration|RADIATION: Volume Modulated Arc Therapy,City of Hope Medical Center,National Cancer Institute (NCI),INTERVENTIONAL
NCT06531486,A Study of XS-02 Capsules in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06531486,NOT_YET_RECRUITING,Solid Tumor|Ovarian Cancer|Breast Cancer|Endometrial Cancer,OTHER: XS-02 capsules,"NovaOnco Therapeutics Co., Ltd.",,INTERVENTIONAL
NCT06195306,Low Dose Tamoxifen With or Without Omega-3 Fatty Acids for Breast Cancer Risk Reduction,https://clinicaltrials.gov/study/NCT06195306,RECRUITING,Breast Atypical Hyperplasia|Breast Carcinoma|Breast Ductal Carcinoma In Situ|Breast Lobular Carcinoma In Situ,PROCEDURE: Biospecimen Collection|PROCEDURE: Mammography|DRUG: Omega-3-Acid Ethyl Esters|OTHER: Questionnaire Administration|PROCEDURE: Random Periareolar Fine-Needle Aspiration|DRUG: Tamoxifen,National Cancer Institute (NCI),,INTERVENTIONAL
NCT06976944,Pembrolizumab + Paclitaxel +/- Bevacizumab for Triple-negative Breast Cancer,https://clinicaltrials.gov/study/NCT06976944,RECRUITING,Recurrent Triple-Negative Breast Cancer,DRUG: Pembrolizumab|DRUG: Paclitaxel|DRUG: Bevacizumab,Yukinori Ozaki,Merck Sharp & Dohme LLC,INTERVENTIONAL
NCT07116824,HB1801 Combined Treatment of HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT07116824,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: HB1801|DRUG: Trastuzumab|DRUG: Pertuzumab|DRUG: Docetaxel,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,INTERVENTIONAL
NCT06915857,Topical Betamethasone Versus Moisturizer in Preventing Radiation Dermatitis in Large-Breasted Patients Treated in the Prone Position,https://clinicaltrials.gov/study/NCT06915857,RECRUITING,Breast Cancer|Radiation Dermatitis,DEVICE: Topical Betamethasone,Sunnybrook Health Sciences Centre,,INTERVENTIONAL
NCT06635980,Hypofractionated Radiotherapy Before or After Breast Surgery for Treatment of Patients With Non-Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06635980,RECRUITING,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Breast Carcinoma|Triple-Negative Breast Carcinoma,PROCEDURE: Biopsy of Breast|PROCEDURE: Biospecimen Collection|PROCEDURE: Breast Surgery|DRUG: Chemotherapy|PROCEDURE: Computed Tomography|PROCEDURE: Contrast Enhanced Digital Mammography|RADIATION: Hypofractionated Radiation Therapy|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Positron Emission Tomography|OTHER: Survey Administration|PROCEDURE: Tissue Collection|PROCEDURE: Ultrasound Imaging,Mayo Clinic,,INTERVENTIONAL
NCT05635487,A Study of SHR-A1811 Monotherapy or Combined With Pyrotinib Maleate as Neoadjuvant Treatment in HER2-positive Breast Cancer Patients,https://clinicaltrials.gov/study/NCT05635487,RECRUITING,HER2-positive Breast Cancer,DRUG: SHR-A1811|DRUG: Pyrotinib,Shengjing Hospital,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT07137793,Clinical Study to Evaluate The Cardioprotective Effect of Pentoxifylline Against Doxorubicin Induced Cardiotoxicity in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT07137793,RECRUITING,Doxorubicin Induced Cardiotoxicity|Breast Cancer,DRUG: Pentoxifylline 400mg plus chemotherapy,Tanta University,,INTERVENTIONAL
NCT05227664,A Study of AK117/AK112 in Metastatic Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT05227664,RECRUITING,Metastatic Triple-negative Breast Cancer|Locally Advanced Triple-negative Breast Cancer,DRUG: AK117|DRUG: AK112|DRUG: Nab paclitaxel|DRUG: paclitaxel,Akeso,,INTERVENTIONAL
NCT07162051,"A Study on the Use of Fluzoparib Combined With Chemotherapy for Neoadjuvant Treatment of HRD-positive, HR+/HER2- Breast Cancer",https://clinicaltrials.gov/study/NCT07162051,RECRUITING,HR+/HER2- Early Breast Cancer,DRUG: Fuzaparib|OTHER: standard chemotherapy,Xijing Hospital,,INTERVENTIONAL
NCT04348747,Dendritic Cell Vaccines Against Her2/Her3 and Pembrolizumab for the Treatment of Brain Metastasis From Triple Negative Breast Cancer or HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT04348747,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Malignant Neoplasm in the Brain|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8,BIOLOGICAL: Anti-HER2/HER3 Dendritic Cell Vaccine|BIOLOGICAL: Pembrolizumab,Roswell Park Cancer Institute,United States Department of Defense,INTERVENTIONAL
NCT01785420,Pre Operative Trastuzumab in Operable Breast Cancer,https://clinicaltrials.gov/study/NCT01785420,RECRUITING,Carcinoma Breast Stage I|HER2 Positive Breast Cancer,DRUG: Trastuzumab|DRUG: Placebo,Dr Rajendra A. Badwe,Tata Memorial Hospital,INTERVENTIONAL
NCT06548178,T-DXd Versus THP for Medium-risk HER2-positive Early Breast Cancer,https://clinicaltrials.gov/study/NCT06548178,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: T-DXd|DRUG: THP,Fudan University,,INTERVENTIONAL
NCT06387628,LM-108 in Combination With PD-1 Based Treatment for Patients With Recurrent or Metastatic Triple - Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06387628,RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: LM-108|DRUG: Toripalimab|DRUG: Eribulin|DRUG: Nab paclitaxel,Fudan University,,INTERVENTIONAL
NCT06184750,"Finding the Best Tamoxifen Dose for Breast Cancer Risk Reduction in Premenopausal Women, RENAISSANCE Trial",https://clinicaltrials.gov/study/NCT06184750,RECRUITING,Breast Atypical Ductal Hyperplasia|Breast Atypical Lobular Hyperplasia|Breast Carcinoma|Breast Ductal Carcinoma In Situ|Breast Lobular Carcinoma In Situ|Estrogen Receptor-Positive Breast Carcinoma,PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|PROCEDURE: Mammography|OTHER: Questionnaire Administration|DRUG: Tamoxifen,National Cancer Institute (NCI),,INTERVENTIONAL
NCT06153836,Neurotization of the Nipple Areolar Complex to Restore Sensation for Patients With Breast Cancer Undergoing Nipple Sparing Mastectomy and Reconstruction,https://clinicaltrials.gov/study/NCT06153836,RECRUITING,Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8,PROCEDURE: Neurotization Procedure|OTHER: Questionnaire Administration|PROCEDURE: Subcutaneous Mastectomy,Mayo Clinic,,INTERVENTIONAL
NCT06169072,Sentinel Lymph Node Localisation With an Ultra-low Dose of Magtrace in Breast Cancer Patients,https://clinicaltrials.gov/study/NCT06169072,RECRUITING,Breast Cancer|Sentinel Lymph Node,DRUG: Superparamagnetic Iron Oxide|DEVICE: Technetium99,Vastra Gotaland Region,,INTERVENTIONAL
NCT05698186,Thero2-01S22 in HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT05698186,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: Thero2-01S22|DRUG: Placebo|DRUG: Thero2-01S22|DRUG: Placebo,Institut de cancérologie Strasbourg Europe,,INTERVENTIONAL
NCT06998407,"Study of AVZO-023 as a Single Agent and in Combination With AVZO-021, and/or Endocrine Therapy in Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT06998407,RECRUITING,"HR+/HER2- Breast Cancer|HR+, HER2-, Advanced Breast Cancer",DRUG: AVZO-021|DRUG: Fulvestrant|DRUG: Letrozole|DRUG: AVZO-023,"Avenzo Therapeutics, Inc.",,INTERVENTIONAL
NCT07109284,"SKB264 Combined With KL-A167 Neoadjuvant Therapy for Early-stage, High-risk ER+/HER2- Breast Cancer",https://clinicaltrials.gov/study/NCT07109284,NOT_YET_RECRUITING,ER+HER2- Breast Cancer,BIOLOGICAL: Sacituzumab tirumotecan|BIOLOGICAL: Tagitanlimab,West China Hospital,,INTERVENTIONAL
NCT04481932,Trastuzumab Combined With Pyrrolidine and Chemotherapy for Locally HER2 Positive Breast Cancer,https://clinicaltrials.gov/study/NCT04481932,RECRUITING,HER2-positive Breast Cancer,DRUG: Trastuzumab combined with Pyrotinib and chemotherapy,Peking University,,INTERVENTIONAL
NCT07150208,T-DXd With or Without Bevacizumab for HER2-low Breast Cancer With Brain Metastasis,https://clinicaltrials.gov/study/NCT07150208,NOT_YET_RECRUITING,Breast Cancer With Brain Metastasis|HER2-low Expressing Breast Cancer,DRUG: Bevacizumab (Bev)|DRUG: Trastuzumab Deruxtecan (T-DXd),Fudan University,,INTERVENTIONAL
NCT06957886,A Study of BL-M07D1 Versus Investigator's Choice of Chemotherapy in Patients With HER2-low Recurrent/Metastatic Breast Cancer,https://clinicaltrials.gov/study/NCT06957886,RECRUITING,HER2-low Breast Cancer,"DRUG: BL-M07D1|DRUG: Capecitabine, Eribulin, Gemcitabine, Paclitaxel, or Albumin paclitaxel","Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT05379153,"Testing Laser Therapy for Treatment of Vaginal Dryness in Survivors of Breast Cancer, The Revitalize Trial",https://clinicaltrials.gov/study/NCT05379153,NOT_YET_RECRUITING,Anatomic Stage 0 Breast Cancer AJCC v8|Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Vaginal Atrophy,DEVICE: Laser Therapy|DEVICE: Sham Intervention|OTHER: Questionnaire Administration|OTHER: Quality of Life Assessment,Alliance for Clinical Trials in Oncology,National Cancer Institute (NCI),INTERVENTIONAL
NCT05306041,"Neoadjuvant Endocrine Therapy +/- the PI3K Inhibitor Inavolisib in HER2+, HR+, PIK3CA Mutant Early Breast Cancer",https://clinicaltrials.gov/study/NCT05306041,RECRUITING,HER2-positive Breast Cancer,DRUG: Inavolisib|DRUG: PHESGO|DRUG: Endocrine therapy,GBG Forschungs GmbH,Roche Pharma AG,INTERVENTIONAL
NCT06407401,Improvement of Quality of Life Through Supportive Treatments for Hormone Therapy - Related Symptoms in Patients With Early Breast Cancer,https://clinicaltrials.gov/study/NCT06407401,NOT_YET_RECRUITING,ER+ Breast Cancer|HER2-negative Breast Cancer|Breast Cancer Stage I|Breast Cancer Stage II|Breast Cancer Stage III|Drug-Related Side Effects and Adverse Reactions|Musculoskeletal Pain,DRUG: Duloxetine 60 MG|DRUG: Furosemide 40 mg|BEHAVIORAL: Booklet for healthy behaviors,European Organisation for Research and Treatment of Cancer - EORTC,,INTERVENTIONAL
NCT05301881,COntinue the SaMe Systemic Therapy After Local Ablative Therapy for Oligo Progression in Metastatic Breast Cancer - the COSMO Study,https://clinicaltrials.gov/study/NCT05301881,RECRUITING,Breast Cancer Invasive|Metastatic Cancer|Oligoprogressive,PROCEDURE: Surgery|RADIATION: Radiotherapy|OTHER: Radiofrequent ablation,The Netherlands Cancer Institute,Maarten van de Weijden Foundation,INTERVENTIONAL
NCT05834764,Pyrotinib in Women With High-risk in Early Stage Breast Cancer,https://clinicaltrials.gov/study/NCT05834764,RECRUITING,HER2-positive Breast Cancer,DRUG: Pyrotinib,The First Affiliated Hospital with Nanjing Medical University,"Jiangsu HengRui Medicine Co., Ltd.",INTERVENTIONAL
NCT06313086,DP303c Versus Trastuzumab Emtansine in in Patients With HER2-positive Advanced Breast Cancer,https://clinicaltrials.gov/study/NCT06313086,RECRUITING,HER2-positive Breast Cancer,DRUG: DP303c|DRUG: trastuzumab emtansine,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",,INTERVENTIONAL
NCT04677816,Impact of Vitamin D Supplementation on the Rate of Pathologic Complete Response in Vitamin D Deficient Patients,https://clinicaltrials.gov/study/NCT04677816,RECRUITING,Triple Negative Breast Cancer|Vitamin D Deficiency|Invasive Breast Cancer,DRUG: Standard of Care Neoadjuvant Chemotherapy (NAC)|DIETARY_SUPPLEMENT: Vitamin D3|OTHER: Drug Diary,Wake Forest University Health Sciences,National Cancer Institute (NCI),INTERVENTIONAL
NCT06107686,A Study of YL202 in Selected Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06107686,RECRUITING,NSCLC|Breast Cancer|HNSCC|Locally Advanced or Metastatic Solid Tumors,DRUG: YL202 should be intravenously infused,"MediLink Therapeutics (Suzhou) Co., Ltd.",,INTERVENTIONAL
NCT07179939,Maintenance Therapy in HER2-Positive Unresectable Locally Recurrent or Metastatic Breast Cancer: A Phase II Study,https://clinicaltrials.gov/study/NCT07179939,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: Trastuzumab rezetecan|DRUG: Pyrotinib|DRUG: Dalpiciclib|DRUG: Trastuzumab|DRUG: ET: Letrozole/ Anastrozole/ Exemestane/ Fulvestrant/ Leuprorelin/ Goserelin.,Fudan University,"Jiangsu HengRui Medicine Co., Ltd.|Chinese PLA General Hospital",INTERVENTIONAL
NCT07011654,Study of Naxitamab and Sacituzumab Govitecan in Patients With Metastatic Triple-negative Breast Cancer (TNBC),https://clinicaltrials.gov/study/NCT07011654,RECRUITING,Metastatic Triple-Negative Breast Cancer,DRUG: Sacituzumab govitecan|DRUG: Naxitamab,M.D. Anderson Cancer Center,Y-mAbs Therapeutics,INTERVENTIONAL
NCT06907043,"A Study of PARP1 Selective Inhibitor, EIK1004 (IMP1707) in Participants With Advanced Solid Tumors.",https://clinicaltrials.gov/study/NCT06907043,RECRUITING,Advanced Solid Tumors,DRUG: EIK1004-001 (IMP1707-001),Eikon Therapeutics,"Impact Therapeutics, Inc.",INTERVENTIONAL
NCT05705401,Testing Radiation and HER2-targeted Therapy Versus HER2-targeted Therapy Alone for Low-risk HER2-positive Breast Cancer,https://clinicaltrials.gov/study/NCT05705401,RECRUITING,HER2-positive Breast Cancer,RADIATION: Standard of Care Adjuvant Breast Radiation|DRUG: Standard of Care HER2-targeted Therapy Without Adjuvant Breast Radiation,NRG Oncology,National Cancer Institute (NCI)|Alliance for Clinical Trials in Oncology|Eastern Cooperative Oncology Group|SWOG Cancer Research Network,INTERVENTIONAL
NCT07208149,A Study of MR001 in Patients With Locally Recurrent or Metastatic Advanced Triple-Negative Breast Cancer (TNBC),https://clinicaltrials.gov/study/NCT07208149,NOT_YET_RECRUITING,Triple-Negative Breast Cancer (TNBC),DRUG: MR001 Bispecific Antibody for Injection,"Shenzhen Majory Biotechnology Co., Ltd.",,INTERVENTIONAL
NCT06973525,This Study Aims to Optimize Neoadjuvant Therapy for HER2-positive Breast Cancer by Implementing a Dynamic Monitoring-guided Treatment Strategy.,https://clinicaltrials.gov/study/NCT06973525,NOT_YET_RECRUITING,HER2-positive Breast Cancer,"DRUG: Patients will initially receive trastuzumab, pyrotinib, and albumin-bound paclitaxel. Those who do not achieve a radiological response after Cycle 2 will switch to SHR-A1811 (a HER2-targeted antibody|DRUG: Patients will initially receive trastuzumab, pyrotinib, and nab-paclitaxel. Those who achieve a partial response (PR) or complete response (CR) after cycle 2 will continue on the same regimen.",Hebei Medical University Fourth Hospital,,INTERVENTIONAL
NCT06891833,A Study of BL-M07D1 With or Without Pertuzumab Versus Taxane + Trastuzumab and Pertuzumab in Neoadjuvant Therapy for HER2-Positive Breast Cancer,https://clinicaltrials.gov/study/NCT06891833,RECRUITING,HER2-positive Breast Cancer,DRUG: BL-M07D1|DRUG: Pertuzumab,"Sichuan Baili Pharmaceutical Co., Ltd.","Baili-Bio (Chengdu) Pharmaceutical Co., Ltd.",INTERVENTIONAL
NCT04158856,"Adjuvant Dual Anti-HER2 Therapy in Patients With Small, Node-negative, HER2-positive Breast Cancer",https://clinicaltrials.gov/study/NCT04158856,NOT_YET_RECRUITING,HER2-positive Breast Cancer,DRUG: Pyrotinib|DRUG: Trastuzumab,xuexin he,,INTERVENTIONAL
NCT06977542,Neoadjuvant Therapy With Ivonescimab Combined With Chemotherapy for Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06977542,NOT_YET_RECRUITING,"TNBC, Triple Negative Breast Cancer",DRUG: Ivonescimab,Fudan University,,INTERVENTIONAL
NCT06819319,SHR-A2102 Combined With Adebrelimab as Neoadjuvant Therapy for Early Triple-Negative Breast Cancer,https://clinicaltrials.gov/study/NCT06819319,NOT_YET_RECRUITING,TNBC - Triple-Negative Breast Cancer,DRUG: SHR-A2102 ; Adebrelimab injection,Henan Cancer Hospital,,INTERVENTIONAL
NCT07043725,A Clinical Study of Neoadjuvant Treatment With TQB2102 for Injection for Human Epidermal Growth Factor Receptor 2 (HER2) Positive Breast Cancer,https://clinicaltrials.gov/study/NCT07043725,RECRUITING,HER2-positive Breast Cancer,DRUG: TQB2102 for injection|DRUG: Trastuzumab injection and Pertuzumab Injection and Docetaxel Injection and Carboplatin Injection,"Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.",,INTERVENTIONAL
NCT05872347,Efficacy and Safety of SPH4336 in Combination With Endocrine Therapy in Breast Cancer Patients With Brain Metastases.,https://clinicaltrials.gov/study/NCT05872347,RECRUITING,Breast Cancer Brain Metastases,DRUG: SPH4336 Tablets,"Shanghai Pharmaceuticals Holding Co., Ltd",,INTERVENTIONAL
NCT05955170,Tucatinib in Combination With Oral Etoposide andTrastuzumab in Patients With Metastatic HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT05955170,RECRUITING,HER2-positive Breast Cancer,DRUG: Tucatinib in Combination of Oral VP16 and trastuzumab,Institut Curie,Seagen Inc.,INTERVENTIONAL
